cell_line	id
RT-4	0
SW837	1
A101D	2
L-428	3
EFM192B	4
SK-BR-3	5
NCI-H1975	6
NCI-H2126	7
HCC38	8
Calu-3	9
CAL-51	10
SF-295	11
AGS	12
NCIH1650	13
HT144	14
HT29	15
HCC1937	16
HCT116	17
MCF7	18
NCI-H2170	19
SR	20
UO-31	21
647V	22
DMS 114	23
L-1236	24
RKO	25
PANC-1	26
VM-CUB-1	27
A549	28
HCT-15	29
DU4475	30
T98G	31
KMS-11	32
Calu-1	33
HCC1143	34
HS 578T	35
NCI-H747	36
MDA-MB-415	37
HCC70	38
CAOV3	39
SF-539	40
SUM52PE	41
KATO III	42
K-562	43
KU-19-19	44
SF-268	45
UACC-812	46
SW948	47
HCC1187	48
RVH-421	49
J82	50
ES2	51
RPMI7951	52
MDA-MB-157	53
SNB-75	54
22Rv1	55
LS513	56
KPL1	57
SKMES1	58
G-361	59
HCC1419	60
HT-1376	61
UM-UC-3	62
EKVX	63
UACC62	64
JMSU-1	65
PC-3	66
HT-1197	67
Rh36	68
T24	69
SW900	70
LOVO	71
NCI-H226	72
NCI-H1437	73
TC-71	74
U251	75
SW403	76
CAL-148	77
786-0	78
Calu-6	79
OVCAR3	80
HCC1954	81
BT-474	82
UWB1289	83
MDA-MB-231	84
HCC1500	85
NCI-H2291	86
CAKI-1	87
EW-8	88
COLO320DM	89
OVCAR-8	90
NCI-H1703	91
SK-MEL-5	92
BFTC-905	93
MDAMB436	94
SK-MEL-2	95
CAMA-1	96
WM115	97
PA1	98
NCI-H522	99
SKMEL30	100
MDA-MB-175-VII	101
KM12	102
Mel Ho	103
MDA-MB-453	104
PC-9	105
SMS-CTR	106
SK-OV-3	107
RPMI-8226	108
NCI-H2085	109
IPC-298	110
Huh-7	111
NCIH520	112
NCI-H322	113
NCI-H460	114
T-47D	115
HCC1569	116
HOP-62	117
SW-620	118
RT-112	119
A427	120
IGROV1	121
A2780	122
HCC1806	123
HCC1395	124
NCI-H2228	125
NCI-H1563	126
MALME-3M	127
HCC1428	128
NCI-H838	129
COLO 800	130
SK-MEL-28	131
SUM149PT	132
NCI-H358	133
TCCSUP	134
MSTO	135
OVCAR-4	136
NCIH2122	137
DLD1	138
BT-20	139
SNU-16	140
HOP-92	141
MFM-223	142
SW48	143
MeWo	144
CAL-120	145
COLO 829	146
MDA-MB-468	147
A375	148
SW780	149
HDLM-2	150
COLO 741	151
NCI-H3122	152
OV90	153
C75	154
NCI-H1793	155
A498	156
NCI-H1299	157
RD	158
ZR751	159
LNCAP	160
UACC-257	161
A2058	162
OVCAR-5	163
U-HO1	164
BT-549	165
NCIH23	166
VCAP	167
MDA-MB-361	168
ACHN	169
COLO 792	170
LOX IMVI	171
A-673	172
OCUBM	173
UWB1289+BRCA1	83
